config	reward	seed	tokenizer
tool_use_qwen3_4b_v1_s42.yaml	v1	42	Qwen/Qwen3-4B-Instruct-2507
tool_use_qwen3_4b_v1_s43.yaml	v1	43	Qwen/Qwen3-4B-Instruct-2507
tool_use_qwen3_4b_v1_s44.yaml	v1	44	Qwen/Qwen3-4B-Instruct-2507
tool_use_qwen3_4b_v2_s42.yaml	v2	42	Qwen/Qwen3-4B-Instruct-2507
tool_use_qwen3_4b_v2_s43.yaml	v2	43	Qwen/Qwen3-4B-Instruct-2507
tool_use_qwen3_4b_v2_s44.yaml	v2	44	Qwen/Qwen3-4B-Instruct-2507
tool_use_qwen3_8b_v1_s42.yaml	v1	42	Qwen/Qwen3-8B
tool_use_qwen3_8b_v1_s43.yaml	v1	43	Qwen/Qwen3-8B
tool_use_qwen3_8b_v1_s44.yaml	v1	44	Qwen/Qwen3-8B
tool_use_qwen3_8b_v2_s42.yaml	v2	42	Qwen/Qwen3-8B
tool_use_qwen3_8b_v2_s43.yaml	v2	43	Qwen/Qwen3-8B
tool_use_qwen3_8b_v2_s44.yaml	v2	44	Qwen/Qwen3-8B
